iter	Passed	Remaining
622	20557	12440
623	20587	12405
624	20617	12370
625	20649	12336
626	20681	12303
627	20713	12269
628	20745	12235
629	20779	12203
630	20814	12171
631	20846	12138
632	20878	12105
633	20909	12070
634	20941	12037
635	20973	12003
636	21005	11970
637	21038	11937
638	21073	11905
639	21106	11872
640	21139	11839
641	21171	11805
642	21203	11772
643	21232	11737
644	21262	11702
645	21294	11669
646	21328	11636
647	21360	11602
648	21391	11569
649	21424	11536
650	21459	11504
651	21492	11471
652	21524	11438
653	21559	11406
654	21593	11373
655	21624	11339
656	21655	11305
657	21686	11271
658	21718	11238
659	21751	11205
660	21782	11171
661	21816	11138
662	21849	11106
663	21882	11073
664	21916	11040
665	21948	11007
666	21981	10974
667	22014	10941
668	22047	10908
669	22078	10874
670	22110	10841
671	22145	10809
672	22177	10775
673	22210	10742
674	22243	10709
675	22279	10678
676	22313	10645
677	22348	10614
678	22382	10581
679	22415	10548
680	22447	10515
681	22481	10482
682	22517	10451
683	22552	10418
684	22588	10387
685	22619	10353
686	22655	10321
687	22688	10288
688	22720	10255
689	22751	10221
690	22781	10187
691	22812	10153
692	22842	10119
693	22877	10087
694	22906	10052
695	22939	10019
696	22969	9985
697	23001	9951
698	23032	9918
699	23064	9884
700	23096	9851
701	23129	9818
702	23163	9786
703	23196	9752
704	23227	9719
705	23257	9685
706	23287	9650
707	23316	9616
708	23347	9582
709	23378	9549
710	23412	9516
711	23443	9482
712	23475	9449
713	23507	9416
714	23538	9382
715	23570	9349
716	23601	9315
717	23637	9283
718	23670	9251
719	23701	9217
720	23730	9182
721	23762	9149
722	23797	9117
723	23828	9083
724	23858	9049
725	23889	9016
726	23920	8982
727	23952	8949
728	23988	8917
729	24017	8883
730	24050	8850
731	24083	8817
732	24114	8784
733	24148	8751
734	24181	8718
735	24212	8685
736	24245	8652
737	24282	8620
738	24318	8588
739	24354	8556
740	24400	8528
741	24435	8496
742	24468	8463
743	24504	8431
744	24538	8399
745	24577	8368
746	24621	8339
747	24664	8309
748	24701	8277
749	24734	8244
750	24769	8212
751	24801	8179
752	24833	8145
753	24865	8112
754	24896	8079
755	24930	8046
756	24961	8012
757	24995	7979
758	25023	7945
759	25055	7912
760	25090	7880
761	25126	7847
762	25156	7814
763	25189	7781
764	25225	7749
765	25259	7716
766	25292	7683
767	25325	7650
768	25356	7616
769	25388	7583
770	25420	7550
771	25450	7516
772	25486	7484
773	25522	7452
774	25555	7419
775	25590	7386
776	25626	7354
777	25659	7321
778	25690	7288
779	25724	7255
780	25759	7223
781	25794	7190
782	25830	7158
783	25863	7125
784	25899	7093
785	25932	7060
786	25963	7026
787	25997	6994
788	26030	6961
789	26067	6929
790	26101	6896
791	26134	6863
792	26173	6832
793	26208	6799
794	26243	6767
795	26275	6734
796	26306	6700
797	26338	6667
798	26368	6633
799	26406	6601
800	26447	6570
801	26479	6537
802	26513	6504
803	26549	6472
804	26583	6439
805	26618	6406
806	26656	6375
807	26691	6342
808	26725	6309
809	26758	6276
810	26791	6243
811	26823	6210
812	26856	6177
813	26889	6144
814	26928	6112
815	26964	6080
816	26996	6046
817	27031	6014
818	27064	5981
819	27097	5948
820	27129	5915
821	27162	5881
822	27204	5850
823	27234	5817
824	27266	5783
825	27302	5751
826	27336	5718
827	27367	5684
828	27399	5651
829	27431	5618
830	27463	5585
831	27497	5552
832	27529	5519
833	27561	5485
834	27594	5452
835	27628	5419
836	27661	5386
837	27693	5353
838	27725	5320
839	27759	5287
840	27791	5254
841	27825	5221
842	27857	5188
843	27893	5155
844	27925	5122
845	27957	5089
846	27990	5056
847	28021	5022
848	28053	4989
849	28086	4956
850	28119	4923
851	28151	4890
852	28187	4857
853	28220	4824
854	28256	4791
855	28287	4758
856	28320	4725
857	28353	4692
858	28384	4659
859	28416	4626
860	28448	4592
861	28480	4559
862	28512	4526
863	28545	4493
864	28579	4460
865	28614	4427
866	28646	4394
867	28678	4361
868	28712	4328
869	28744	4295
870	28776	4261
871	28810	4229
872	28842	4195
873	28879	4163
874	28913	4130
875	28944	4097
876	28976	4063
877	29009	4030
878	29040	3997
879	29073	3964
880	29108	3931
881	29139	3898
882	29172	3865
883	29205	3832
884	29238	3799
885	29273	3766
886	29306	3733
887	29340	3700
888	29375	3667
889	29409	3634
890	29442	3601
891	29476	3568
892	29508	3535
893	29541	3502
894	29575	3469
895	29609	3436
896	29644	3403
897	29676	3370
898	29710	3337
899	29742	3304
900	29773	3271
901	29806	3238
902	29842	3205
903	29875	3172
904	29907	3139
905	29941	3106
906	29975	3073
907	30007	3040
908	30043	3007
909	30082	2975
910	30118	2942
911	30152	2909
912	30187	2876
913	30221	2843
914	30253	2810
915	30282	2776
916	30317	2744
917	30350	2711
918	30381	2677
919	30413	2644
920	30444	2611
921	30477	2578
922	30511	2545
923	30544	2512
924	30574	2479
925	30606	2445
926	30638	2412
927	30670	2379
928	30701	2346
929	30733	2313
930	30768	2280
931	30800	2247
932	30832	2214
933	30866	2181
934	30899	2148
935	30932	2115
936	30964	2081
937	30996	2048
938	31029	2015
939	31061	1982
940	31094	1949
941	31126	1916
942	31158	1883
943	31195	1850
944	31227	1817
945	31258	1784
946	31289	1751
947	31320	1718
948	31351	1684
949	31382	1651
950	31414	1618
951	31449	1585
952	31482	1552
953	31514	1519
954	31547	1486
955	31582	1453
956	31615	1420
957	31646	1387
958	31680	1354
959	31718	1321
960	31750	1288
961	31782	1255
962	31817	1222
963	31848	1189
964	31878	1156
965	31910	1123
966	31944	1090
967	31975	1057
968	32006	1023
969	32039	990
970	32072	957
971	32103	924
972	32133	891
973	32166	858
974	32196	825
975	32228	792
976	32259	759
977	32290	726
978	32323	693
979	32357	660
980	32391	627
981	32423	594
982	32453	561
983	32488	528
984	32521	495
985	32553	462
986	32587	429
987	32619	396
988	32651	363
989	32683	330
990	32720	297
991	32758	264
992	32789	231
993	32824	198
994	32856	165
995	32888	132
996	32921	99
997	32953	66
998	32987	33
999	33016	0
